variables,coefficients,pvalue,coefficients_abs
Intercept,11.598952746583489,0.0,11.598952746583489
grade_x_sqft_living_log,2.7894183248451827,0.0,2.7894183248451827
Lakeland_North,-0.4905938389577035,3.8935837737869024e-182,0.4905938389577035
Federal_Way,-0.4845663208250858,1.3158473974720377e-267,0.4845663208250858
Auburn,-0.47857188784003574,1.2360339531787447e-213,0.47857188784003574
Kent,-0.46090332167742515,1.116654465549115e-162,0.46090332167742515
Enumclaw,-0.4423641810381639,2.1084578403759136e-100,0.4423641810381639
Tukwila,-0.4165389063325643,4.118884521117015e-111,0.4165389063325643
Covington,-0.41430999599081325,3.687978007006863e-161,0.41430999599081325
East_Hill_Meridian,-0.40966067772150705,3.5305647677318444e-105,0.40966067772150705
Des_Moines,-0.40180037217978665,1.1786240927393987e-107,0.40180037217978665
SeaTac,-0.39560012120136495,2.168068991204475e-57,0.39560012120136495
Bryn_Mawr_Skyway,-0.32322120697520723,2.2143842478237844e-64,0.32322120697520723
Maple_Valley,-0.32114188607593197,3.912464176116378e-100,0.32114188607593197
Fairwood,-0.3098802439562263,1.3516275327073214e-82,0.3098802439562263
good_view,0.3000510631422806,2.077982450012043e-175,0.3000510631422806
Bellevue,0.29587776382496467,1.441395372271446e-128,0.29587776382496467
size_vs_lot_log,-0.2634668028599006,6.608385357339877e-30,0.2634668028599006
Black_Diamond,-0.2545834813018948,5.099517050459521e-19,0.2545834813018948
condition,0.20744536253689272,5.928581798343799e-65,0.20744536253689272
Seattle,0.20323913099422086,1.8503038286618642e-82,0.20323913099422086
Burien,-0.19567370414538454,7.839495758136614e-29,0.19567370414538454
Carnation,-0.19540168019572146,9.150706334926937e-13,0.19540168019572146
White_Center,-0.19505622575538467,4.435296232940541e-26,0.19505622575538467
Redmond,-0.19256488828793653,7.203721737452711e-30,0.19256488828793653
Kirkland,0.18953117945301,4.828542318945158e-48,0.18953117945301
Duvall,-0.1725583116768228,8.62630272297753e-15,0.1725583116768228
Shoreline,0.1693995684070546,,0.1693995684070546
bedrooms,-0.15873745827753394,1.7039201478457128e-29,0.15873745827753394
North_Bend,-0.14080141159721982,5.711627938911554e-12,0.14080141159721982
Union_Hill_Novelty_Hill,0.11608160616219898,8.594706118642335e-12,0.11608160616219898
Sammamish,0.10949573621819594,3.106535984998557e-15,0.10949573621819594
Vashon,-0.10551568710082734,0.00015899938035811835,0.10551568710082734
bath_vs_bed_log,0.08610287661646879,3.636959596077425e-05,0.08610287661646879
Renton,-0.07964029900221323,1.3740608143811152e-52,0.07964029900221323
pre_1970_renovated,0.07817636767987057,1.839832795852876e-12,0.07817636767987057
recent_build,0.07569568186073553,1.0892371651711507e-20,0.07569568186073553
Kenmore,-0.07464435895768873,4.348805296043941e-05,0.07464435895768873
Issaquah,0.07048699253757174,6.472357548058491e-07,0.07048699253757174
pre_1970,0.06373776375955523,1.2362721772420717e-30,0.06373776375955523
multi_story,0.044529854485131845,4.744245743926695e-23,0.044529854485131845
Bothell,-0.04086367132024693,0.052809310213695816,0.04086367132024693
Woodinville,0.016574617976488015,0.3855089860265377,0.016574617976488015
Fall_City,-0.015882462132841835,0.6437611800146339,0.015882462132841835
Cottage_Lake,-0.014314411492424517,0.5165852082672597,0.014314411492424517
has_yard,0.014086486473801285,0.04740039708994467,0.014086486473801285
basement,1.5069260223102641e-15,0.0,1.5069260223102641e-15
Medina,-2.2778734549201026e-16,1.5907339481710076e-87,2.2778734549201026e-16
Mercer_Island,-4.5341113389539886e-17,4.274764667763051e-15,4.5341113389539886e-17
